	Kingdom	Phylum	Class	Order	Family	Genus
ASV 7240 _	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Simkaniaceae	NA
ASV 7241 _	Bacteria	Planctomycetes	vadinHA49	NA	NA	NA
ASV 7242 _	Eukaryota	NA	NA	NA	NA	NA
ASV 7243 _	Bacteria	NA	NA	NA	NA	NA
ASV 7244 _	Bacteria	Planctomycetes	Phycisphaerae	MSBL9	SG8-4	NA
ASV 7245 _	Bacteria	Bacteroidetes	Ignavibacteria	Ignavibacteriales	NA	NA
ASV 7246 _	Bacteria	Chloroflexi	Dehalococcoidia	Sh765B-AG-111	NA	NA
ASV 7247 _	Bacteria	Nitrospirae	Thermodesulfovibrionia	NA	NA	NA
ASV 7248 _	Archaea	Euryarchaeota	Thermoplasmata	Marine_Benthic_Group_D_and_DHVEG-1	NA	NA
ASV 7249 _	Bacteria	Proteobacteria	Gammaproteobacteria	KI89A_clade	NA	NA
ASV 7250 _	Archaea	Nanoarchaeaeota	Woesearchaeia	NA	NA	NA
ASV 7251 _	Archaea	Crenarchaeota	Bathyarchaeia	NA	NA	NA
ASV 7252 _	Bacteria	Omnitrophicaeota	NA	NA	NA	NA
ASV 7253 _	Bacteria	NA	NA	NA	NA	NA
ASV 7254 _	Bacteria	NA	NA	NA	NA	NA
ASV 7255 _	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV 7256 _	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	NA
ASV 7257 _	Bacteria	Planctomycetes	Phycisphaerae	CCM11a	NA	NA
ASV 7258 _	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	NA	NA
ASV 7259 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfarculales	Desulfarculaceae	NA
ASV 7260 _	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	NA
ASV 7261 _	Bacteria	Acidobacteria	Subgroup_9	NA	NA	NA
ASV 7262 _	Bacteria	Planctomycetes	vadinHA49	NA	NA	NA
ASV 7263 _	Bacteria	Chloroflexi	Anaerolineae	SBR1031	NA	NA
