	Kingdom	Phylum	Class	Order	Family	Genus
ASV 1 _	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae	NA
ASV 2 _	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia
ASV 3 _	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA
ASV 4 _	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA
ASV 5 _	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidetes_BD2-2	NA
ASV 6 _	Bacteria	Bacteroidetes	Ignavibacteria	Ignavibacteriales	PHOS-HE36	NA
ASV 7 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	NA
ASV 8 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodovibrionales	Kiloniellaceae	NA
ASV 9 _	Bacteria	Planctomycetes	Brocadiae	Brocadiales	Scalinduaceae	Candidatus_Scalindua
ASV 10 _	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j	NA	NA
ASV 11 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Sva0081_sediment_group
ASV 12 _	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA
ASV 13 _	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA
ASV 14 _	Bacteria	Rokubacteria	NC10	Methylomirabilales	Methylomirabilaceae	wb1-A12
ASV 15 _	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	NA
ASV 16 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	NA
ASV 17 _	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosopumilus
ASV 18 _	Bacteria	Acidobacteria	Subgroup_21	NA	NA	NA
ASV 19 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	SEEP-SRB1
ASV 20 _	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosopumilus
ASV 21 _	Bacteria	Planctomycetes	Brocadiae	Brocadiales	Scalinduaceae	Candidatus_Scalindua
ASV 22 _	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA
ASV 23 _	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia
ASV 24 _	Bacteria	Proteobacteria	Gammaproteobacteria	AT-s2-59	NA	NA
ASV 25 _	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia
ASV 26 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Sva0081_sediment_group
ASV 27 _	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	NA
ASV 28 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	NA
ASV 29 _	Bacteria	Planctomycetes	Phycisphaerae	MSBL9	4572-13	NA
ASV 30 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfarculales	Desulfarculaceae	Desulfatiglans
ASV 31 _	Bacteria	Acidobacteria	Subgroup_21	NA	NA	NA
ASV 32 _	Bacteria	Proteobacteria	Gammaproteobacteria	MBMPE27	NA	NA
ASV 33 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	NA
ASV 34 _	Bacteria	Planctomycetes	Phycisphaerae	MSBL9	SG8-4	NA
ASV 35 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodovibrionales	Kiloniellaceae	NA
ASV 36 _	Archaea	Asgardaeota	Lokiarchaeia	NA	NA	NA
ASV 37 _	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosopumilus
ASV 38 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA
ASV 39 _	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia
ASV 40 _	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia
ASV 41 _	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j	NA	NA
ASV 42 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfarculales	Desulfarculaceae	Desulfatiglans
ASV 43 _	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Nitrosomonadaceae	Nitrosomonas
ASV 44 _	Bacteria	Actinobacteria	Acidimicrobiia	Actinomarinales	NA	NA
ASV 45 _	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosopumilus
ASV 46 _	Bacteria	Planctomycetes	Brocadiae	Brocadiales	Scalinduaceae	Candidatus_Scalindua
ASV 47 _	Bacteria	Proteobacteria	Gammaproteobacteria	MBMPE27	NA	NA
ASV 48 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	SEEP-SRB1
ASV 49 _	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA
ASV 50 _	Bacteria	Planctomycetes	Brocadiae	Brocadiales	Scalinduaceae	Candidatus_Scalindua
ASV 51 _	Bacteria	Proteobacteria	Gammaproteobacteria	AT-s2-59	NA	NA
ASV 52 _	Bacteria	Bacteroidetes	Ignavibacteria	Ignavibacteriales	PHOS-HE36	NA
ASV 53 _	Bacteria	Nitrospirae	Thermodesulfovibrionia	NA	NA	NA
ASV 54 _	Bacteria	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacter
ASV 55 _	Bacteria	Gemmatimonadetes	PAUC43f_marine_benthic_group	NA	NA	NA
ASV 56 _	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
ASV 57 _	Bacteria	Proteobacteria	Gammaproteobacteria	JTB23	NA	NA
ASV 58 _	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae	NA
ASV 59 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfarculales	Desulfarculaceae	Desulfatiglans
ASV 60 _	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	NA
ASV 61 _	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j	NA	NA
ASV 62 _	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	NA
ASV 63 _	Bacteria	Gemmatimonadetes	BD2-11_terrestrial_group	NA	NA	NA
ASV 64 _	Bacteria	Planctomycetes	Phycisphaerae	MSBL9	L21-RPul-D3	NA
ASV 65 _	Bacteria	Gemmatimonadetes	PAUC43f_marine_benthic_group	NA	NA	NA
ASV 66 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	NA
ASV 67 _	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae	AqS1
ASV 68 _	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia
ASV 69 _	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia
ASV 70 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfarculales	Desulfarculaceae	Desulfatiglans
ASV 71 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	NA
ASV 72 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfarculales	Desulfarculaceae	Desulfatiglans
ASV 73 _	Bacteria	Planctomycetes	Brocadiae	Brocadiales	Scalinduaceae	Candidatus_Scalindua
ASV 74 _	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
ASV 75 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Sva0081_sediment_group
ASV 76 _	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosopumilus
ASV 77 _	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Sandaracinaceae	NA
ASV 78 _	Bacteria	Actinobacteria	Acidimicrobiia	Actinomarinales	NA	NA
ASV 79 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodovibrionales	Kiloniellaceae	NA
ASV 80 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Sva1033	NA
ASV 81 _	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia
ASV 82 _	Bacteria	Actinobacteria	Acidimicrobiia	Actinomarinales	NA	NA
ASV 83 _	Bacteria	Proteobacteria	Deltaproteobacteria	Sva0485	NA	NA
ASV 84 _	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidetes_BD2-2	NA
ASV 85 _	Bacteria	Planctomycetes	Phycisphaerae	MSBL9	L21-RPul-D3	NA
ASV 86 _	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosopumilus
ASV 87 _	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Nitrosomonadaceae	Nitrosomonas
ASV 88 _	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosopumilus
ASV 89 _	Bacteria	Gemmatimonadetes	PAUC43f_marine_benthic_group	NA	NA	NA
ASV 90 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Sva0081_sediment_group
ASV 91 _	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA
ASV 92 _	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosopumilus
ASV 93 _	Bacteria	Planctomycetes	Brocadiae	Brocadiales	Scalinduaceae	Candidatus_Scalindua
ASV 94 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Sva1033	NA
ASV 95 _	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidetes_BD2-2	NA
ASV 96 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	SEEP-SRB1
ASV 97 _	Bacteria	Actinobacteria	Acidimicrobiia	Actinomarinales	NA	NA
ASV 98 _	Bacteria	Calditrichaeota	Calditrichia	Calditrichales	Calditrichaceae	NA
ASV 99 _	Bacteria	Planctomycetes	Phycisphaerae	MSBL9	SG8-4	NA
ASV 100 _	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia
ASV 101 _	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia
ASV 102 _	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae	AqS1
ASV 103 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodovibrionales	Kiloniellaceae	NA
ASV 104 _	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosopumilus
ASV 105 _	Bacteria	Calditrichaeota	Calditrichia	Calditrichales	Calditrichaceae	NA
ASV 106 _	Bacteria	Planctomycetes	Brocadiae	Brocadiales	Scalinduaceae	Candidatus_Scalindua
ASV 107 _	Bacteria	Gemmatimonadetes	BD2-11_terrestrial_group	NA	NA	NA
ASV 108 _	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	NA
ASV 109 _	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosopumilus
ASV 110 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	NA
ASV 111 _	Bacteria	Actinobacteria	Acidimicrobiia	Actinomarinales	NA	NA
ASV 112 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	SEEP-SRB1
ASV 113 _	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j	NA	NA
ASV 114 _	Bacteria	Actinobacteria	Acidimicrobiia	Actinomarinales	NA	NA
ASV 115 _	Bacteria	Planctomycetes	Brocadiae	Brocadiales	Scalinduaceae	Candidatus_Scalindua
ASV 116 _	Bacteria	Actinobacteria	Coriobacteriia	CG2-30-50-142	NA	NA
ASV 117 _	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	NA
ASV 118 _	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae	AqS1
ASV 119 _	Bacteria	Nitrospirae	Thermodesulfovibrionia	NA	NA	NA
ASV 120 _	Bacteria	Acidobacteria	Subgroup_21	NA	NA	NA
ASV 121 _	Bacteria	Rokubacteria	NC10	Methylomirabilales	Methylomirabilaceae	wb1-A12
ASV 122 _	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosopumilus
ASV 123 _	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA
ASV 124 _	Bacteria	Latescibacteria	Latescibacteria	Latescibacterales	Latescibacteraceae	NA
ASV 125 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	NA
ASV 126 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	Methyloceanibacter
ASV 127 _	Bacteria	Acidobacteria	Subgroup_21	NA	NA	NA
ASV 128 _	Bacteria	Actinobacteria	Acidimicrobiia	Actinomarinales	NA	NA
ASV 129 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	SEEP-SRB1
ASV 130 _	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV 131 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodovibrionales	Kiloniellaceae	NA
ASV 132 _	Bacteria	Latescibacteria	Latescibacteria	Latescibacterales	Latescibacteraceae	NA
ASV 133 _	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j	NA	NA
ASV 134 _	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j	NA	NA
ASV 135 _	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j	NA	NA
ASV 136 _	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae	FS142-36B-02
ASV 137 _	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosopumilus
ASV 138 _	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prolixibacteraceae	Prolixibacter
ASV 139 _	Bacteria	Dadabacteria	Dadabacteriia	Dadabacteriales	NA	NA
ASV 140 _	Bacteria	Proteobacteria	Gammaproteobacteria	MBMPE27	NA	NA
ASV 141 _	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	NA
ASV 142 _	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia
ASV 143 _	Bacteria	Rokubacteria	NC10	Methylomirabilales	Methylomirabilaceae	wb1-A12
ASV 144 _	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA
ASV 145 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodovibrionales	Kiloniellaceae	NA
ASV 146 _	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	NA
ASV 147 _	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA
ASV 148 _	Bacteria	Proteobacteria	Deltaproteobacteria	Sva0485	NA	NA
ASV 149 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodovibrionales	Kiloniellaceae	NA
ASV 150 _	Archaea	NA	NA	NA	NA	NA
ASV 151 _	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j	NA	NA
ASV 152 _	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j	NA	NA
ASV 153 _	Archaea	Asgardaeota	Lokiarchaeia	NA	NA	NA
ASV 154 _	Bacteria	Proteobacteria	Gammaproteobacteria	UBA10353_marine_group	NA	NA
ASV 155 _	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia
ASV 156 _	Bacteria	Acidobacteria	Acidobacteriia	Subgroup_13	NA	NA
ASV 157 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	SEEP-SRB1
ASV 158 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfarculales	Desulfarculaceae	Desulfatiglans
ASV 159 _	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae	NA
ASV 160 _	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	NA
ASV 161 _	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia
ASV 162 _	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	NA
ASV 163 _	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosopumilus
ASV 164 _	Bacteria	Nitrospirae	Thermodesulfovibrionia	NA	NA	NA
ASV 165 _	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Lutibacter
ASV 166 _	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae	NA
ASV 167 _	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	NA	NA
ASV 168 _	Bacteria	Gemmatimonadetes	PAUC43f_marine_benthic_group	NA	NA	NA
ASV 169 _	Bacteria	Acidobacteria	Subgroup_21	NA	NA	NA
ASV 170 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Sva1033	NA
ASV 171 _	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosopumilus
ASV 172 _	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA
ASV 173 _	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosopumilus
ASV 174 _	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae	AqS1
ASV 175 _	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosopumilus
ASV 176 _	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosopumilus
ASV 177 _	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia
ASV 178 _	Bacteria	Acidobacteria	Aminicenantia	Aminicenantales	NA	NA
ASV 179 _	Bacteria	Planctomycetes	Phycisphaerae	MSBL9	SG8-4	NA
ASV 180 _	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	NA
ASV 181 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	NA
ASV 182 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	NA
ASV 183 _	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA
ASV 184 _	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Kangiellaceae	NA
ASV 185 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	NA
ASV 186 _	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Psychrilyobacter
ASV 187 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodovibrionales	Kiloniellaceae	NA
ASV 188 _	Bacteria	Acidobacteria	Acidobacteriia	Subgroup_13	NA	NA
ASV 189 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA
ASV 190 _	Bacteria	Actinobacteria	Acidimicrobiia	Actinomarinales	NA	NA
ASV 191 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Sva1033	NA
ASV 192 _	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j	NA	NA
ASV 193 _	Bacteria	Latescibacteria	NA	NA	NA	NA
ASV 194 _	Bacteria	Gemmatimonadetes	BD2-11_terrestrial_group	NA	NA	NA
ASV 195 _	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta_2
ASV 196 _	Bacteria	Planctomycetes	Phycisphaerae	MSBL9	SG8-4	NA
ASV 197 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodovibrionales	Kiloniellaceae	NA
ASV 198 _	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
ASV 199 _	Bacteria	Gemmatimonadetes	AKAU4049	NA	NA	NA
ASV 200 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	NA
ASV 201 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodovibrionales	Kiloniellaceae	NA
ASV 202 _	Bacteria	Acidobacteria	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_23
ASV 203 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	NA
ASV 204 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodovibrionales	Kiloniellaceae	NA
ASV 205 _	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	NA
ASV 206 _	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosopumilus
ASV 207 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA
ASV 208 _	Bacteria	Zixibacteria	NA	NA	NA	NA
ASV 209 _	Bacteria	Planctomycetes	Phycisphaerae	C86	NA	NA
ASV 210 _	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cyclobacteriaceae	NA
ASV 211 _	Bacteria	Planctomycetes	Phycisphaerae	MSBL9	NA	NA
ASV 212 _	Bacteria	Nitrospirae	Thermodesulfovibrionia	NA	NA	NA
ASV 213 _	Bacteria	Kiritimatiellaeota	Kiritimatiellae	Kiritimatiellales	Kiritimatiellaceae	R76-B128
ASV 214 _	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j	NA	NA
ASV 215 _	Bacteria	Actinobacteria	Acidimicrobiia	Actinomarinales	NA	NA
ASV 216 _	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j	NA	NA
ASV 217 _	Bacteria	Actinobacteria	Acidimicrobiia	Actinomarinales	NA	NA
ASV 218 _	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
ASV 219 _	Bacteria	Proteobacteria	Gammaproteobacteria	AT-s2-59	NA	NA
ASV 220 _	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae	NA
ASV 221 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodovibrionales	Kiloniellaceae	NA
ASV 222 _	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	NA
ASV 223 _	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j	NA	NA
ASV 224 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodovibrionales	Kiloniellaceae	NA
ASV 225 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodovibrionales	Kiloniellaceae	NA
ASV 226 _	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae	NA
ASV 227 _	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia
ASV 228 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	SEEP-SRB1
ASV 229 _	Bacteria	Acidobacteria	Subgroup_22	NA	NA	NA
ASV 230 _	Bacteria	Poribacteria	NA	NA	NA	NA
ASV 231 _	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae	AqS1
ASV 232 _	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Sandaracinaceae	NA
ASV 233 _	Bacteria	Proteobacteria	Gammaproteobacteria	AT-s2-59	NA	NA
ASV 234 _	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	NA
ASV 235 _	Bacteria	Nitrospirae	Thermodesulfovibrionia	NA	NA	NA
ASV 236 _	Bacteria	Acidobacteria	Subgroup_21	NA	NA	NA
ASV 237 _	Bacteria	Actinobacteria	Coriobacteriia	CG2-30-50-142	NA	NA
ASV 238 _	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	NA
ASV 239 _	Bacteria	Latescibacteria	Latescibacteria	Latescibacterales	Latescibacteraceae	NA
ASV 240 _	Bacteria	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacter
ASV 241 _	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA
ASV 242 _	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA
ASV 243 _	Bacteria	Acidobacteria	Subgroup_22	NA	NA	NA
ASV 244 _	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia
ASV 245 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfarculales	Desulfarculaceae	Desulfatiglans
ASV 246 _	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfarculales	Desulfarculaceae	Desulfatiglans
ASV 247 _	Bacteria	Latescibacteria	Latescibacteria	Latescibacterales	Latescibacteraceae	NA
ASV 248 _	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA
ASV 249 _	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	MidBa8	NA
ASV 250 _	Bacteria	Acidobacteria	Subgroup_21	NA	NA	NA
ASV 251 _	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	NA
ASV 252 _	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosopumilus
ASV 253 _	Bacteria	Proteobacteria	Deltaproteobacteria	Sva0485	NA	NA
ASV 254 _	Bacteria	Actinobacteria	Coriobacteriia	CG2-30-50-142	NA	NA
ASV 255 _	Bacteria	Gemmatimonadetes	BD2-11_terrestrial_group	NA	NA	NA
ASV 256 _	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae	AqS1
ASV 257 _	Bacteria	Latescibacteria	Latescibacteria	Latescibacterales	Latescibacteraceae	NA
ASV 258 _	Bacteria	Proteobacteria	Gammaproteobacteria	EPR3968-O8a-Bc78	NA	NA
ASV 259 _	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	NA
ASV 260 _	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA
ASV 261 _	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j	NA	NA
