	SRR6171591	SRR6171610	SRR6171613	SRR6171628	SRR6171632	SRR6171861	SRR6171863	SRR6171996	SRR6172005	SRR6172047	SRR6172048	SRR6172125	SRR6172126	SRR6172133	SRR6172162	SRR6172163	SRR6172165	SRR6172166	SRR6172218	SRR6172219	SRR6172263	SRR6172267	SRR6173526	SRR6173691	SRR6173720	SRR6173734	SRR6173743	SRR6173747	SRR6173774	SRR6173776
ASV 44 _	187	199	38	624	702	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	472	569	33	26	90	30	0	9
ASV 45 _	112	23	19	232	1507	33	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	690	170	104	0	5	0	0	0
ASV 46 _	65	272	174	108	4	132	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	368	43	251	61	452	409	148
ASV 47 _	181	0	0	352	507	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	956	746	0	7	86	29	0	0
ASV 48 _	0	726	245	22	0	254	805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	164	84	216	0	199	108	101
ASV 49 _	0	755	364	41	0	104	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	81	773	124	0	55	195	139
ASV 50 _	22	41	49	1126	7	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	837	24	124	146	170	77	78
ASV 51 _	214	76	19	110	472	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	20	19	177	748	613	38	177
ASV 52 _	0	684	387	0	0	174	762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	29	191	104	2	103	273	62
ASV 53 _	20	794	203	106	2	63	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	458	72	141	5	318	96	79
ASV 54 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2462	169	0	2	8	11	0	23
ASV 55 _	14	413	163	112	21	136	681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	200	67	230	39	227	187	124
ASV 56 _	0	1353	42	0	0	59	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	26	102	113	0	452	94	63
ASV 57 _	156	252	161	608	363	11	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	312	0	77	200	150	4	37
ASV 58 _	38	139	0	198	55	66	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	472	242	255	71	334	291	353
ASV 59 _	18	372	214	105	0	225	366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	155	97	248	14	240	281	199
ASV 60 _	6	12	0	605	582	22	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	835	189	194	0	2	0	0	0
ASV 61 _	64	928	152	223	122	93	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	97	0	92	149	233	29	119
ASV 62 _	0	20	94	0	3	756	1167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	174	12	0	0	67	154
ASV 63 _	233	44	195	326	778	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	354	0	0	273	17	0	13
ASV 64 _	0	445	154	35	3	147	627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	56	217	111	0	207	162	123
ASV 65 _	43	447	87	113	182	149	317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	154	27	139	51	161	170	130
ASV 66 _	17	173	204	202	105	142	332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	277	318	43	29	41	56	104
ASV 67 _	289	30	17	339	548	4	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302	168	0	60	267	95	0	30
ASV 68 _	167	43	8	721	593	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	106	23	28	230	0	0	23
ASV 69 _	383	62	13	382	95	6	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	223	14	85	394	159	26	62
ASV 70 _	0	57	20	0	0	463	471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	141	0	84	350	265
ASV 71 _	24	152	218	25	38	202	373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	67	76	176	59	151	310	231
ASV 72 _	28	46	47	55	30	427	362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	67	331	44	166	120	308
ASV 73 _	19	49	177	201	8	69	349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	822	117	11	0	0	0	0
ASV 74 _	142	4	297	243	92	3	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	488	655	4	0	78	8	0	0
ASV 75 _	14	309	157	170	44	203	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	129	88	117	9	205	155	123
ASV 76 _	404	70	8	86	373	4	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	73	20	73	350	192	86	23
ASV 77 _	95	161	72	70	18	26	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	219	39	272	309	363	89	84
ASV 78 _	131	457	125	117	51	39	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	190	28	189	231	192	43	88
ASV 79 _	203	81	0	292	487	26	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	70	0	37	251	67	54	126
ASV 80 _	16	278	353	0	7	26	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	27	1001	15	106
ASV 81 _	0	0	0	0	0	0	0	12	134	114	0	185	134	151	108	462	162	55	193	24	140	106	0	0	0	0	0	0	0	0
ASV 82 _	63	153	61	262	213	10	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	444	566	15	27	44	32	7	1
ASV 83 _	0	1038	42	33	0	50	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	7	15	114	0	406	74	96
ASV 84 _	0	1032	147	0	0	74	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	15	34	105	0	212	79	145
ASV 85 _	0	489	162	101	4	117	419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	71	125	74	0	195	106	43
ASV 86 _	0	7	3	111	272	35	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1034	247	122	0	0	0	0	0
ASV 87 _	163	40	13	561	652	52	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	71	8	10	96	39	42	45
ASV 88 _	350	38	34	227	649	47	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	70	25	38	130	36	52	41
ASV 89 _	22	273	80	99	68	131	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	457	143	41	26	26	87	41
ASV 90 _	5	404	159	44	0	79	440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	138	94	68	0	187	133	97
ASV 91 _	0	67	81	0	9	284	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	292	15	94	392	424
ASV 92 _	340	24	21	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	6	51	895	163	110	23
ASV 93 _	28	79	61	438	17	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	239	25	131	149	301	40	94
ASV 94 _	0	761	226	10	6	196	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	33	11	310	24	45
ASV 95 _	6	585	199	33	0	163	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	185	181	27	0	11	59	30
ASV 96 _	0	277	136	0	0	242	684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	95	0	112	106	78
