	SRR6171591	SRR6171610	SRR6171613	SRR6171628	SRR6171632	SRR6171861	SRR6171863	SRR6171996	SRR6172005	SRR6172047	SRR6172048	SRR6172125	SRR6172126	SRR6172133	SRR6172162	SRR6172163	SRR6172165	SRR6172166	SRR6172218	SRR6172219	SRR6172263	SRR6172267	SRR6173526	SRR6173691	SRR6173720	SRR6173734	SRR6173743	SRR6173747	SRR6173774	SRR6173776
ASV 3193 _	15	0	0	18	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	35	0	0	11
ASV 3194 _	27	9	0	2	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	29	0	0	14
ASV 3195 _	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	30	0	0	0	29	0	4
ASV 3196 _	0	9	11	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASV 3197 _	0	23	13	0	0	13	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	15	8	0	0	8	8
ASV 3198 _	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 3199 _	0	12	0	0	0	34	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0
ASV 3200 _	0	29	12	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	25	0	0
ASV 3201 _	0	10	16	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	6	18	24
ASV 3202 _	0	2	0	0	0	17	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	2	0	0	0	14
ASV 3203 _	0	3	19	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	15	0	6	0	9
ASV 3204 _	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	34	10	0
ASV 3205 _	0	0	21	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	66	0	0	0	0	0	0
ASV 3206 _	0	0	3	37	28	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	5	0	0	7	0	0	0
ASV 3207 _	0	0	0	0	0	8	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 3208 _	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0
ASV 3209 _	0	0	0	0	0	0	0	0	0	0	0	0	29	38	0	0	0	18	0	0	16	0	0	0	0	0	0	0	0	0
ASV 3210 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	18	0	0	0	0	0	0
ASV 3211 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	82	0	0	0	0	0	0
ASV 3212 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0
ASV 3213 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	16	0	0
ASV 3214 _	28	0	0	5	22	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	28	5	0	0
ASV 3215 _	13	11	0	10	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	8	2	6	15	2
ASV 3216 _	20	5	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0
ASV 3217 _	15	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	8	27	20	0	0
ASV 3218 _	20	0	0	25	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
ASV 3219 _	13	0	0	17	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	4	0	0	11	0	0	0
ASV 3220 _	3	66	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
ASV 3221 _	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 3222 _	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 3223 _	0	29	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	39	0	0
ASV 3224 _	0	9	5	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0
ASV 3225 _	0	7	0	0	0	7	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	3	0	5	32	6
ASV 3226 _	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	25	3	8	8	20
ASV 3227 _	0	6	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	14	4	0	10	34	22
ASV 3228 _	0	4	11	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	9	0	0	29	17
ASV 3229 _	0	3	0	0	0	37	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ASV 3230 _	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	38	0	0	0	0	0	0
ASV 3231 _	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 3232 _	0	0	17	19	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	4	0	27	16	3
ASV 3233 _	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	12	4	0	0	9	0	0
ASV 3234 _	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	59	9	0	0	0	0	0
ASV 3235 _	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	56	0	0	0	0	0	0
ASV 3236 _	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 3237 _	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 3238 _	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 3239 _	0	0	0	0	0	34	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
ASV 3240 _	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0
ASV 3241 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0
ASV 3242 _	39	0	0	8	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0
ASV 3243 _	27	11	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	15	0	0
ASV 3244 _	14	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	40	0	0	2
ASV 3245 _	6	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	11
ASV 3246 _	1	25	13	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	19	6	14	12	0
ASV 3247 _	0	56	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0
ASV 3248 _	0	59	24	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
ASV 3249 _	0	56	19	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 3250 _	0	27	2	0	0	34	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	13
ASV 3251 _	0	28	23	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	0	0	0	0	0
ASV 3252 _	0	72	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0
ASV 3253 _	0	13	12	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	3	12	14
ASV 3254 _	0	15	0	26	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	37	0	0	0	9	0	0
ASV 3255 _	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	39	0	0
ASV 3256 _	0	9	13	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	23	8	0	21	0	0
ASV 3257 _	0	41	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	6	8	0	7
ASV 3258 _	0	33	11	0	0	24	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0
ASV 3259 _	0	23	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	26	0	9
ASV 3260 _	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	42	0	0	0	30	0	0
ASV 3261 _	0	2	0	6	0	33	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	14	0	0	0	0	0
ASV 3262 _	0	2	0	4	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	25	0	0	10	0	1
ASV 3263 _	0	4	2	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	20	0	0	32	0	0
ASV 3264 _	0	0	5	0	0	4	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	25	5
ASV 3265 _	0	0	10	0	0	16	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 3266 _	0	0	4	0	0	50	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 3267 _	0	0	0	0	0	27	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	37
ASV 3268 _	0	0	0	0	0	0	0	53	0	14	0	0	0	11	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0
ASV 3269 _	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 3270 _	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 3271 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0
ASV 3272 _	15	16	5	4	9	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	8	8	5	14	1
ASV 3273 _	18	0	0	17	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
ASV 3274 _	12	0	0	21	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	6	0	0	7	0	0	0
ASV 3275 _	29	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0
ASV 3276 _	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 3277 _	9	10	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	16	0	6	13	6	0	0
ASV 3278 _	3	6	0	0	50	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	15	4	0	8
ASV 3279 _	7	0	0	0	32	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	18	0	0	7
ASV 3280 _	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 3281 _	0	33	8	0	0	25	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	2
ASV 3282 _	0	36	29	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 3283 _	0	21	15	0	0	17	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	12	0	0
ASV 3284 _	0	16	17	0	0	8	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	2	0	0	0	13
ASV 3285 _	0	23	4	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	11	0	13	32	0	4
ASV 3286 _	0	2	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0
ASV 3287 _	0	5	9	0	0	6	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	4	0	0	0	0	0
ASV 3288 _	0	10	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	10	0	15	0	16
ASV 3289 _	0	0	14	0	0	23	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 3290 _	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	8
ASV 3291 _	0	0	19	0	0	23	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0
ASV 3292 _	0	0	5	13	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	27	0	7	0	0	0	0
ASV 3293 _	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 3294 _	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 3295 _	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 3296 _	0	0	0	0	0	41	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
ASV 3297 _	0	0	0	0	0	31	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	42
ASV 3298 _	0	0	0	0	0	35	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 3299 _	0	0	0	0	0	2	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	4	1
ASV 3300 _	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0
ASV 3301 _	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 3302 _	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	6	0	0	0	0	0	0
ASV 3303 _	0	0	0	0	0	0	0	15	13	8	0	0	13	0	4	0	0	18	0	9	18	0	0	0	0	0	0	0	0	0
ASV 3304 _	0	0	0	0	0	0	0	0	18	13	0	10	0	13	0	13	0	19	0	9	0	3	0	0	0	0	0	0	0	0
ASV 3305 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0
ASV 3306 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0
ASV 3307 _	10	2	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	5	0	3
ASV 3308 _	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	26	0	0	14	0	0	0
ASV 3309 _	54	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 3310 _	15	0	0	1	61	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	8	0	0	0
ASV 3311 _	8	1	0	41	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	16	0	0	0	0	0	0
ASV 3312 _	8	13	10	0	1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	18	0	16
ASV 3313 _	6	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	57	0	0	0	0	0	0
ASV 3314 _	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 3315 _	0	27	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	38	10	2
ASV 3316 _	0	25	10	0	0	16	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	13	18
ASV 3317 _	0	24	6	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	20	10
ASV 3318 _	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	13	11
ASV 3319 _	0	20	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	46	0	0
ASV 3320 _	0	8	3	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	12	10	0	18	7	0	0
ASV 3321 _	0	21	5	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	14	5	0
ASV 3322 _	0	26	0	4	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	36	0	0
ASV 3323 _	0	4	0	0	0	19	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	9	11	0	0	10	0
ASV 3324 _	0	0	11	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0
ASV 3325 _	0	0	17	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	45	11	0	8	0	0	0
ASV 3326 _	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 3327 _	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 3328 _	0	0	0	0	0	0	0	38	29	0	0	0	0	0	0	0	0	10	0	8	12	0	0	0	0	0	0	0	0	0
ASV 3329 _	0	0	0	0	0	0	0	3	6	21	0	0	0	0	0	17	0	0	0	14	25	11	0	0	0	0	0	0	0	0
ASV 3330 _	0	0	0	0	0	0	0	0	2	0	30	0	0	4	9	0	27	3	18	0	4	0	0	0	0	0	0	0	0	0
ASV 3331 _	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 3332 _	0	0	0	0	0	0	0	0	0	0	0	13	19	14	0	13	0	14	10	0	14	0	0	0	0	0	0	0	0	0
ASV 3333 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0
ASV 3334 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	64	24
ASV 3335 _	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 3336 _	14	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	1	0	0	0	0
ASV 3337 _	31	0	0	0	38	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0
ASV 3338 _	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 3339 _	0	42	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	17	19	0
ASV 3340 _	0	50	22	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 3341 _	0	19	0	0	0	18	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	17	0	7
ASV 3342 _	0	0	4	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	39	0	0	0	6	0
ASV 3343 _	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 3344 _	0	0	0	27	59	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 3345 _	0	0	0	9	0	5	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	10	0	0	23	18
ASV 3346 _	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 3347 _	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 3348 _	0	0	0	0	0	28	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
ASV 3349 _	0	0	0	0	0	10	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	19	0	18	9	0
ASV 3350 _	0	0	0	0	0	0	0	33	0	11	0	0	0	0	0	0	0	20	0	32	0	0	0	0	0	0	0	0	0	0
ASV 3351 _	0	0	0	0	0	0	0	5	0	6	19	0	0	0	9	0	17	10	25	5	0	0	0	0	0	0	0	0	0	0
ASV 3352 _	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 3353 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 3354 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0
ASV 3355 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	70	0	0	0	0	0
ASV 3356 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	21
ASV 3357 _	41	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0
ASV 3358 _	34	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
ASV 3359 _	16	0	0	19	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0
ASV 3360 _	0	22	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
ASV 3361 _	0	31	41	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	12	0	0	0	0	0	0
ASV 3362 _	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	17	1	46	0	8
ASV 3363 _	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	22	11
ASV 3364 _	0	33	1	0	0	25	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0
ASV 3365 _	0	11	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	18	4	0	0	7	18	27
ASV 3366 _	0	1	9	2	5	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	19	15	0	4	0	0	0
ASV 3367 _	0	26	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	21	14	10
ASV 3368 _	0	5	6	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	8	7
ASV 3369 _	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0
ASV 3370 _	0	0	3	6	0	24	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	9
ASV 3371 _	0	0	16	0	0	21	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	7	16	5
ASV 3372 _	0	0	0	31	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	0	0	6	0	0	0
ASV 3373 _	0	0	0	43	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	38	0	0	0	0	0	0
ASV 3374 _	0	0	0	20	31	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	13	0	0	0	0	0	0
ASV 3375 _	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 3376 _	0	0	0	0	0	31	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	1	4	1
ASV 3377 _	0	0	0	0	0	7	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0
ASV 3378 _	0	0	0	0	0	19	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	41	0	0	0	2	0
ASV 3379 _	0	0	0	0	0	0	0	11	11	0	0	0	0	12	21	0	26	8	0	0	6	0	0	0	0	0	0	0	0	0
ASV 3380 _	0	0	0	0	0	0	0	0	5	0	0	0	0	9	47	0	0	0	29	0	0	5	0	0	0	0	0	0	0	0
ASV 3381 _	0	0	0	0	0	0	0	0	0	30	0	35	0	0	0	9	0	0	0	21	0	0	0	0	0	0	0	0	0	0
ASV 3382 _	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0
ASV 3383 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 3384 _	47	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	10	0	0	0
ASV 3385 _	21	19	26	0	0	14	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
ASV 3386 _	6	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	37	24	0	8
ASV 3387 _	24	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	22	12
ASV 3388 _	30	0	0	0	48	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 3389 _	30	0	13	17	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0
ASV 3390 _	14	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	14	18	10	0	0
ASV 3391 _	7	0	5	18	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	12	0	24	0	8
